epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,484.301,0.45753,0.66691,0.41919,0.93503,0.82604,0.66951,0.75975,0.63703,0.82604,0.66951,0.7556,0.61608,0.76105,1.75469,0.91963,1.18132,0.000319231,0.000319231,0.000319231
100,488.65,0.49292,0.70748,0.4384,0.94708,0.85942,0.64703,0.76302,0.63771,0.72601,0.73294,0.75744,0.62332,0.75432,1.86084,0.87644,1.16259,0.000305478,0.000305478,0.000305478
101,492.931,0.4559,0.6347,0.44568,0.94084,0.86964,0.64012,0.76317,0.6355,0.7309,0.73209,0.75341,0.62591,0.75501,1.89146,0.85762,1.15701,0.000291725,0.000291725,0.000291725
102,497.223,0.45372,0.66008,0.41423,0.93357,0.70466,0.7323,0.7517,0.63219,0.70157,0.7328,0.74005,0.62177,0.7209,1.93436,0.87702,1.13759,0.000277972,0.000277972,0.000277972
103,501.431,0.44157,0.63982,0.39096,0.93126,0.71697,0.69068,0.7454,0.63198,0.71697,0.69068,0.73653,0.61545,0.6552,1.85552,0.8696,1.10989,0.00026422,0.00026422,0.00026422
104,505.686,0.441,0.66157,0.40917,0.92533,0.75106,0.68855,0.76059,0.64394,0.75106,0.68855,0.75022,0.63042,0.60908,1.7191,0.8555,1.08649,0.000250467,0.000250467,0.000250467
105,509.969,0.43976,0.61471,0.39898,0.91915,0.74539,0.72069,0.75815,0.64809,0.74539,0.72069,0.7514,0.62966,0.60509,1.68158,0.85774,1.08486,0.000236714,0.000236714,0.000236714
106,514.261,0.45694,0.64323,0.39454,0.94255,0.82117,0.63904,0.75836,0.64078,0.82117,0.63904,0.74916,0.62387,0.61983,1.64566,0.88201,1.07816,0.000222961,0.000222961,0.000222961
107,518.477,0.42751,0.60274,0.36859,0.90921,0.80736,0.60891,0.75271,0.6305,0.80736,0.60891,0.74356,0.61283,0.62129,1.64657,0.91673,1.07223,0.000209209,0.000209209,0.000209209
108,522.719,0.4296,0.60899,0.39475,0.93121,0.80942,0.60891,0.73959,0.63172,0.80942,0.60891,0.73136,0.61124,0.59877,1.55551,0.93961,1.06697,0.000195456,0.000195456,0.000195456
